"","V1","city","gu","ad_dong","id","adstrd_code","cul_mean_amt","hel_mean_amt","medi_mean_amt","mean_commerce","conv_dep","mean_dep","bus_sum","wdoverwk","sub_sum","cluster","highsat","satis_ind"
"86",86,"서울특별시","동대문구","답십리2동",1106086,1123061000,6.72627737226277,1.74626865671642,58.2,818.553398058252,93.9477307162413,479.690777169727,16,1.13286890012255,0,2,0,0.501148583197427
"87",87,"서울특별시","동대문구","장안1동",1106087,1123065000,22.3119266055046,17.2899628252788,167.786610878661,1847.1,97.5799302720746,493.024163599333,28,1.23917630597695,0,2,0,0.523047863527784
"88",88,"서울특별시","동대문구","장안2동",1106088,1123066000,22.9214780600462,9.23228346456693,147.35590778098,1072.27516778523,109.214902818606,416.808546555696,27,1.07241118209603,0,2,0,0.466194128272522
"89",89,"서울특별시","동대문구","청량리동",1106080,1123070500,10.9181818181818,1.90243902439024,83.2960451977401,577.716129032258,122.416650995345,377.038209382203,25,1.1099662129327,1,2,0,0.427625034216177
"90",90,"서울특별시","동대문구","회기동",1106071,1123071000,30.8881578947368,5.728,247.411078717201,654.671875,156.43646815699,504.155043042188,10,1.24396605553079,0,2,0,0.545196557984157
"91",91,"서울특별시","동대문구","휘경1동",1106072,1123072000,7.70921985815603,17.0753768844221,80.6938053097345,912.283870967742,121.084636094199,405.999408621934,15,1.14936623565521,0,2,0,0.399075317307956
"92",92,"서울특별시","동대문구","휘경2동",1106073,1123073000,4.19183673469388,1.27027027027027,104.33014354067,728.83498349835,86.849344581106,353.857180655006,17,1.17545699905775,0,2,0,0.420198317590069
"93",93,"서울특별시","동대문구","이문1동",1106089,1123074000,20.452380952381,3.04545454545455,97.0273037542662,811.04555808656,98.3678023807383,397.097242925346,25,1.13924947799074,0,2,0,0.453144127751986
"94",94,"서울특별시","동대문구","이문2동",1106090,1123075000,2.57792207792208,1.3,65.2317290552585,575.38064516129,98.4930324328726,421.74940266864,12,1.08354561227569,0,2,0,0.449175731469135
"95",95,"서울특별시","중랑구","면목2동",1107052,1126052000,7.94160583941606,10.241935483871,70.8434650455927,550.865671641791,123.006312796829,445.37482674,21,1.09649447259101,0,2,1,0.444277253253511
"96",96,"서울특별시","중랑구","면목4동",1107054,1126054000,3.16460905349794,1,36.925,535.651612903226,201.281080487814,524.667960332027,12,1.02150692606459,1,2,1,0.514619450339432
"97",97,"서울특별시","중랑구","면목5동",1107055,1126055000,2.12676056338028,2.11538461538462,4.66117216117216,271.909547738693,141.973891589492,581.206423637264,15,1.02217080417267,0,2,1,0.55237282915108
"98",98,"서울특별시","중랑구","면목본동",1107071,1126056500,16.4917491749175,1.775,139.203448275862,1083.67419354839,132.643384675984,593.71665595233,28,1.08036527477327,1,2,1,0.647899016271184
